symbol,name,re3data_id,comments
bl.lshtm,London School of Hygiene and Tropical Medicine,,
bl.nhm,Natural History Museum London,r3d100011675,
cdl.broad,Broad Institute of MIT and Harvard,,
cdl.dryad,Dryad,r3d100000044,
cdl.lternet,Long Term Ecological Research (LTER) Network,r3d100010272,
cdl.morphoba,MorphoBank,r3d100010101,
cdl.morphoso,Morphosource Project,,
cdl.sbgrid,Structural Biology Data Grid,r3d100011601,
cdl.tcia,The Cancer Imaging Archive,r3d100011559,
cdl.ucbcrcns,Collaborative Research in Computational Neuroscience (CRCNS),r3d100011269,
cdl.ummscand,University of Massachusetts Medical School-CANDI,,
delft.maastro,MAASTRO Clinic,,
dk.gbif,Global Biodiversity Information Facility,r3d100000039,
gesis.ihi,Ifakara Health Institute,,
osti.nimh,National Institute of Mental Health,,
osti.usdaadc,"US Department of Agriculture, Agricultural Data Commons",r3d100011890,
snd.bils,BILS DOI Repository,r3d100011815,
tib.ipk,Plant Genomics and Phenomics Research Data Repository,r3d100011876,
zbmed.biofresh,Project BioFresh, Leibniz-Institute of Freshwater Ecology and Inland Fisheries,,
